ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
1,Agriculture,110,Food Science & Technology,11001,Food Science,2021,2021,5,Bachelors Degree,0,food-science,"Boston, MA",16000US2507000,boston-ma
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30103,Environmental Studies,2021,2021,5,Bachelors Degree,43,environmental-studies,"Boston, MA",16000US2507000,boston-ma
3,Natural Resources & Conservation,301,Natural Resource Conservation & Research,30104,Environmental Science,2021,2021,5,Bachelors Degree,122,environmental-science,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,402,Architecture,40201,Architecture,2021,2021,5,Bachelors Degree,8,architecture-040201,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,405,Interior Architecture,40501,Interior Architecture,2021,2021,5,Bachelors Degree,3,interior-architecture-040501,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,406,Landscape Architecture,40601,Landscape Architecture,2021,2021,5,Bachelors Degree,3,landscape-architecture-040601,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,408,Architectural History & Criticism,40801,General Architectural History & Criticism,2021,2021,5,Bachelors Degree,18,general-architectural-history-criticism,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,409,Architectural Sciences & Technology,40901,Architectural Technology,2021,2021,5,Bachelors Degree,1,architectural-technology,"Boston, MA",16000US2507000,boston-ma
4,Architecture and Related Services,409,Architectural Sciences & Technology,40902,Architectural & Building Sciences & Technology,2021,2021,5,Bachelors Degree,159,architectural-building-sciences-technology,"Boston, MA",16000US2507000,boston-ma
5,Cultural & Gender Studies,501,Area Studies,50101,African Studies,2021,2021,5,Bachelors Degree,1,african-studies,"Boston, MA",16000US2507000,boston-ma
5,Cultural & Gender Studies,501,Area Studies,50102,American & U.S. Studies,2021,2021,5,Bachelors Degree,11,american-us-studies,"Boston, MA",16000US2507000,boston-ma
5,Cultural & Gender Studies,501,Area Studies,50103,Asian Studies,2021,2021,5,Bachelors Degree,14,asian-studies,"Boston, MA",16000US2507000,boston-ma
5,Cultural & Gender Studies,501,Area Studies,50104,East Asian Studies,2021,2021,5,Bachelors Degree,3,east-asian-studies,"Boston, MA",16000US2507000,boston-ma
