ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,ACS Industry yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2021,"2021","04000US25","Massachusetts",384,214.44113411377026,0.08533983011243464,"Boston, MA","16000US2507000","boston-ma",97849,50815,444,-13.513513513513514,92311,5.9992850256199155,0.10255068113414643
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2021,"2021","04000US25","Massachusetts",153,115.24755962709148,0.08922151211207421,"Boston, MA","16000US2507000","boston-ma",75375,33996,101,51.48514851485149,50893,48.104847424989686,0.04086003701438647
1,"Construction (Group)",2,"Construction",2021,"2021","04000US25","Massachusetts",11652,863.4222605423142,0.4573386146440469,"Boston, MA","16000US2507000","boston-ma",112156,24777,13146,-11.364673664993154,105948,5.859478234605656,3.111772230664256
2,"Manufacturing (Group)",3,"Manufacturing",2021,"2021","04000US25","Massachusetts",17194,1030.8608053466774,0.45816590539757507,"Boston, MA","16000US2507000","boston-ma",148411,19580,16433,4.630925576583703,137042,8.295996847681733,4.591813571407588
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2021,"2021","04000US25","Massachusetts",4668,582.7254928351771,0.5013208072309592,"Boston, MA","16000US2507000","boston-ma",128539,37348,5607,-16.746923488496524,128895,-0.2761938011559797,1.2466317175369677
4,"Retail Trade (Group)",5,"Retail Trade",2021,"2021","04000US25","Massachusetts",30801,1349.2338566757062,0.750951413181962,"Boston, MA","16000US2507000","boston-ma",55414,4407,31017,-0.6963923009962278,52498,5.554497314183397,8.225686275033448
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2021,"2021","04000US25","Massachusetts",12671,1005.5496009645672,0.70151417893803,"Boston, MA","16000US2507000","boston-ma",79336,13176,13001,-2.5382662872086765,77055,2.960223217182532,3.3839054183613793
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2021,"2021","04000US25","Massachusetts",1664,387.7434718986253,0.5350966109054456,"Boston, MA","16000US2507000","boston-ma",159085,10978,1655,0.5438066465256798,161334,-1.3940025041218838,0.4443862849146346
6,"Information (Group)",8,"Information",2021,"2021","04000US25","Massachusetts",8811,695.25319129077,1.2226995342407014,"Boston, MA","16000US2507000","boston-ma",135302,9918,9438,-6.643356643356643,135618,-0.2330074178943798,2.3530574257108445
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2021,"2021","04000US25","Massachusetts",26270,1140.2056831993077,1.4812108347289668,"Boston, MA","16000US2507000","boston-ma",183495,9940,27285,-3.7199926699651824,171698,6.870784749967967,7.015641649463612
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2021,"2021","04000US25","Massachusetts",6616,650.322996671654,0.9206452617282247,"Boston, MA","16000US2507000","boston-ma",120432,14264,7626,-13.244164699711513,113419,6.183267353794338,1.766862777040398
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2021,"2021","04000US25","Massachusetts",55506,2022.5231766286388,1.9399120933718945,"Boston, MA","16000US2507000","boston-ma",168822,7771,54419,1.9974641209871553,158932,6.222787103918657,14.823380487062323
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2021,"2021","04000US25","Massachusetts",577,169.04733065032408,1.0836537890481615,"Boston, MA","16000US2507000","boston-ma",190603,127687,343,68.22157434402332,212465,-10.289694773256771,0.15409308076667316
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2021,"2021","04000US25","Massachusetts",15338,971.0926835271698,0.9838017813095437,"Boston, MA","16000US2507000","boston-ma",64367,5198,15173,1.0874579845778685,63006,2.1601117353902803,4.096151945925881
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2021,"2021","04000US25","Massachusetts",49863,1860.4163512504397,1.4269227956081225,"Boston, MA","16000US2507000","boston-ma",98432,9232,50469,-1.2007370861320812,94907,3.7141622851844436,13.316366180708187
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2021,"2021","04000US25","Massachusetts",67932,2155.469786380686,1.295677461803875,"Boston, MA","16000US2507000","boston-ma",104592,6366,68930,-1.4478456405048599,97444,7.335495258815319,18.14185643438759
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2021,"2021","04000US25","Massachusetts",7294,783.7244413695415,0.9296758645679054,"Boston, MA","16000US2507000","boston-ma",53740,14082,7686,-5.100182149362477,53466,0.512475217895485,1.9479288234178753
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2021,"2021","04000US25","Massachusetts",26943,1340.9436975503484,1.0259958183994735,"Boston, MA","16000US2507000","boston-ma",46751,3393,30330,-11.167161226508407,44886,4.154970369380208,7.195372400513822
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2021,"2021","04000US25","Massachusetts",15499,990.2019995940221,0.8710041655223836,"Boston, MA","16000US2507000","boston-ma",,,16520,-6.180387409200969,,NaN,4.1391484554638955
12,"Public Administration (Group)",19,"Public Administration",2021,"2021","04000US25","Massachusetts",14613,878.3808968778864,0.8307030080795577,"Boston, MA","16000US2507000","boston-ma",150696,8792,14617,-0.027365396456181162,143932,4.699441402884696,3.9025341234720887
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2020,"2020","04000US25","Massachusetts",444,248.17131179892652,0.09419261407213231,"Boston, MA","16000US2507000","boston-ma",92311,121434,335,32.537313432835816,67875,36.00147329650092,0.11555277951280449
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2020,"2020","04000US25","Massachusetts",101,83.93449827097318,0.05492731906807525,"Boston, MA","16000US2507000","boston-ma",50893,45972,91,10.989010989010989,37005,37.53006350493177,0.02628565479908391
1,"Construction (Group)",2,"Construction",2020,"2020","04000US25","Massachusetts",13146,1025.065851543207,0.5120322627313433,"Boston, MA","16000US2507000","boston-ma",105948,22310,13048,0.7510729613733905,96539,9.746320140047029,3.4212991880074957
2,"Manufacturing (Group)",3,"Manufacturing",2020,"2020","04000US25","Massachusetts",16433,967.9447298270702,0.426893229464484,"Boston, MA","16000US2507000","boston-ma",137042,17413,16100,2.0683229813664594,131325,4.353321911288787,4.276754112013325
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2020,"2020","04000US25","Massachusetts",5607,576.3896251668658,0.5727419301021315,"Boston, MA","16000US2507000","boston-ma",128895,17974,5344,4.921407185628743,116426,10.709807087763902,1.4592442223610245
4,"Retail Trade (Group)",5,"Retail Trade",2020,"2020","04000US25","Massachusetts",31017,1477.0446844967148,0.7318268770808262,"Boston, MA","16000US2507000","boston-ma",52498,3223,31588,-1.8076484741040904,48620,7.9761415055532705,8.072298563397878
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2020,"2020","04000US25","Massachusetts",13001,1032.8412269076016,0.7234831382442205,"Boston, MA","16000US2507000","boston-ma",77055,11085,13004,-0.023069824669332512,74560,3.3462982832618025,3.383562356860296
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2020,"2020","04000US25","Massachusetts",1655,346.16181187415805,0.521998894389999,"Boston, MA","16000US2507000","boston-ma",161334,15104,1646,0.5467800729040098,164487,-1.916868810301118,0.43072038309389965
6,"Information (Group)",8,"Information",2020,"2020","04000US25","Massachusetts",9438,827.8339205420373,1.2485772921038463,"Boston, MA","16000US2507000","boston-ma",135618,13381,8847,6.6802305866395395,133274,1.7587826582829358,2.456277326670831
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2020,"2020","04000US25","Massachusetts",27285,1321.354607968656,1.5189519959390194,"Boston, MA","16000US2507000","boston-ma",171698,9099,26498,2.9700354743754245,167392,2.57240489390174,7.101030605871331
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2020,"2020","04000US25","Massachusetts",7626,652.6944154809355,1.0206042460955154,"Boston, MA","16000US2507000","boston-ma",113419,10423,7570,0.7397622192866579,108281,4.745061460459361,1.9846970643347908
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2020,"2020","04000US25","Massachusetts",54419,1732.4043985166973,1.9070868830528478,"Boston, MA","16000US2507000","boston-ma",158932,5942,50746,7.238008907105979,154351,2.9679108007074784,14.162762856547992
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2020,"2020","04000US25","Massachusetts",343,142.3376267892647,0.6422441556972547,"Boston, MA","16000US2507000","boston-ma",212465,116048,342,0.29239766081871343,206971,2.654478163607462,0.08926712471372059
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2020,"2020","04000US25","Massachusetts",15173,1016.854955241897,0.9443053399364006,"Boston, MA","16000US2507000","boston-ma",63006,4885,15974,-5.014398397395768,60380,4.349122225902616,3.9488340620445554
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2020,"2020","04000US25","Massachusetts",50469,1922.8192842802468,1.4104847113379746,"Boston, MA","16000US2507000","boston-ma",94907,7311,49850,1.2417251755265797,90807,4.515070424086249,13.13475952529669
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2020,"2020","04000US25","Massachusetts",68930,2027.7598477137276,1.2829145714394594,"Boston, MA","16000US2507000","boston-ma",97444,3583,69467,-0.7730289202067169,95253,2.300190020261829,17.939308765354987
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2020,"2020","04000US25","Massachusetts",7686,685.3473571846615,0.9277934442867213,"Boston, MA","16000US2507000","boston-ma",53466,9482,7435,3.3759246805648955,50902,5.037130171702487,2.000312304809494
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2020,"2020","04000US25","Massachusetts",30330,1351.9855768461437,1.089819020290052,"Boston, MA","16000US2507000","boston-ma",44886,3931,32225,-5.880527540729248,44273,1.384591060014004,7.893504059962524
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2020,"2020","04000US25","Massachusetts",16520,898.4191672042622,0.8916625379055475,"Boston, MA","16000US2507000","boston-ma",,,16738,-1.3024256183534473,,NaN,4.299396210701644
12,"Public Administration (Group)",19,"Public Administration",2020,"2020","04000US25","Massachusetts",14617,961.2413848768684,0.8155782874321219,"Boston, MA","16000US2507000","boston-ma",143932,6275,14890,-1.8334452652787108,141596,1.6497641176304416,3.8041328336456384
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US25","Massachusetts",335,122.64175471673585,0.06969216946414539,"Boston, MA","16000US2507000","boston-ma",67875,142457,302,10.927152317880795,28003,142.38474449166162,0.08775652410815794
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US25","Massachusetts",91,77.64663547121665,0.046493631617192034,"Boston, MA","16000US2507000","boston-ma",37005,88677,35,160,137045,-72.9979203911124,0.023838339384604102
1,"Construction (Group)",2,"Construction",2019,"2019","04000US25","Massachusetts",13048,963.7229892453538,0.5184944558894539,"Boston, MA","16000US2507000","boston-ma",96539,18438,13276,-1.7173847544441094,94078,2.6159144539637325,3.418051124069388
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US25","Massachusetts",16100,875.2074039906197,0.4172486283310805,"Boston, MA","16000US2507000","boston-ma",131325,15585,16671,-3.4251094715374006,125069,5.0020388745412525,4.217552352660726
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US25","Massachusetts",5344,535.5977968587997,0.5396789005218144,"Boston, MA","16000US2507000","boston-ma",116426,11600,5443,-1.8188498989527835,120168,-3.113973770055256,1.3999130293552122
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US25","Massachusetts",31588,1272.9214429806734,0.7420427243472071,"Boston, MA","16000US2507000","boston-ma",48620,3843,29995,5.310885147524588,45576,6.678953835351939,8.274785323965652
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US25","Massachusetts",13004,923.379120405048,0.7494098304297757,"Boston, MA","16000US2507000","boston-ma",74560,13685,11971,8.629187202405813,74483,0.10337929460413786,3.406524894037272
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US25","Massachusetts",1646,302.27470949452584,0.5269260774153133,"Boston, MA","16000US2507000","boston-ma",164487,25640,1547,6.399482870071105,158931,3.4958566925269454,0.43118578711053135
6,"Information (Group)",8,"Information",2019,"2019","04000US25","Massachusetts",8847,725.4901791202966,1.1523127205163883,"Boston, MA","16000US2507000","boston-ma",133274,9549,8741,1.212675895206498,123734,7.710087768923659,2.3175581157757414
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US25","Massachusetts",26498,1190.1718363328885,1.5046512621682484,"Boston, MA","16000US2507000","boston-ma",167392,7182,26391,0.40544124891061345,156872,6.706104339843949,6.941410077068564
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US25","Massachusetts",7570,595.5375722823876,1.0208474752089103,"Boston, MA","16000US2507000","boston-ma",108281,9138,7288,3.8693743139407246,106840,1.3487457880943468,1.9830354850709127
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US25","Massachusetts",50746,1569.290285447533,1.8472901669955013,"Boston, MA","16000US2507000","boston-ma",154351,5813,47528,6.770745665712844,145294,6.233567800459758,13.293410663858458
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US25","Massachusetts",342,126.0515767453942,0.7023582943148414,"Boston, MA","16000US2507000","boston-ma",206971,159650,310,10.32258064516129,160524,28.934614138695768,0.08959024252235827
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US25","Massachusetts",15974,933.6021636650163,0.984053550873189,"Boston, MA","16000US2507000","boston-ma",60380,4374,15304,4.377940407736539,57687,4.668296149912458,4.18454542120512
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US25","Massachusetts",49850,1398.250692830152,1.4091470527272503,"Boston, MA","16000US2507000","boston-ma",90807,6029,48299,3.2112466096606553,85201,6.57973497963639,13.058694706840818
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2019,"2019","04000US25","Massachusetts",69467,1667.7268961073933,1.3110943772838977,"Boston, MA","16000US2507000","boston-ma",95253,2503,67968,2.2054496233521657,92113,3.4088565131957487,18.197559582750472
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,"2019","04000US25","Massachusetts",7435,653.4011019274456,0.8850732232623092,"Boston, MA","16000US2507000","boston-ma",50902,8829,7232,2.806969026548672,47192,7.861501949482963,1.947670915654192
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2019,"2019","04000US25","Massachusetts",32225,1458.9694993384885,1.1312313213044982,"Boston, MA","16000US2507000","boston-ma",44273,3005,31151,3.447722384514141,40330,9.776841061244731,8.44165369965788
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,"2019","04000US25","Massachusetts",16738,982.4158997084686,0.9025042852674845,"Boston, MA","16000US2507000","boston-ma",,,16653,0.5104185432054285,,NaN,4.384682688126412
12,"Public Administration (Group)",19,"Public Administration",2019,"2019","04000US25","Massachusetts",14890,860.2255518176614,0.8465967600828129,"Boston, MA","16000US2507000","boston-ma",141596,7457,14758,0.8944301395853097,137164,3.231168528185238,3.9005810267775285
