Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
2019-01,"January, 2019",15,"Mining, Logging, and Construction",7808000,1/1/19,5.015399927371521
2019-01,"January, 2019",30,Manufacturing,12804100,1/1/19,2.076756274115884
2019-01,"January, 2019",40,"Trade, Transportation, and Utilities",27764400,1/1/19,0.955213678
2019-01,"January, 2019",50,Information,2862100,1/1/19,0.9025207121452494
2019-01,"January, 2019",55,Financial Activities,8541100,1/1/19,1.3263260294449124
2019-01,"January, 2019",60,Professional and Business Services,20895100,1/1/19,2.0672238531841205
2019-01,"January, 2019",65,Education and Health Services,23891600,1/1/19,2.1213662573251892
2019-01,"January, 2019",70,Leisure and Hospitality,15772900,1/1/19,1.9474391788825978
2019-01,"January, 2019",80,Other Services,5737100,1/1/19,1.317439293598234
2019-01,"January, 2019",90,Government,22923800,1/1/19,0.42801880303687445
2019-02,"February, 2019",15,"Mining, Logging, and Construction",7812700,2/1/19,3.618085120492314
2019-02,"February, 2019",30,Manufacturing,12851300,2/1/19,1.928918710987381
2019-02,"February, 2019",40,"Trade, Transportation, and Utilities",27464100,2/1/19,0.5789936277741156
2019-02,"February, 2019",50,Information,2901400,2/1/19,1.0342305951178745
2019-02,"February, 2019",55,Financial Activities,8569900,2/1/19,1.311029672538125
2019-02,"February, 2019",60,Professional and Business Services,21033100,2/1/19,1.8793805794110952
2019-02,"February, 2019",65,Education and Health Services,24208100,2/1/19,2.046571623683745
2019-02,"February, 2019",70,Leisure and Hospitality,15921300,2/1/19,1.8083575790516992
2019-02,"February, 2019",80,Other Services,5767600,2/1/19,1.2659116846633307
2019-02,"February, 2019",90,Government,23326300,2/1/19,0.3553651096856352
2019-03,"March, 2019",15,"Mining, Logging, and Construction",7934000,3/1/19,3.4905561932588958
2019-03,"March, 2019",30,Manufacturing,12861700,3/1/19,1.7644219737789488
2019-03,"March, 2019",40,"Trade, Transportation, and Utilities",27469400,3/1/19,0.45015230579639653
2019-03,"March, 2019",50,Information,2894200,3/1/19,1.0121457489878543
2019-03,"March, 2019",55,Financial Activities,8574800,3/1/19,1.2648062638024493
2019-03,"March, 2019",60,Professional and Business Services,21069900,3/1/19,1.5788915458191917
2019-03,"March, 2019",65,Education and Health Services,24272700,3/1/19,2.074055383839021
2019-03,"March, 2019",70,Leisure and Hospitality,16175700,3/1/19,1.6975046681378374
2019-03,"March, 2019",80,Other Services,5797800,3/1/19,1.2291790341167022
2019-03,"March, 2019",90,Government,23427500,3/1/19,0.411891271
2019-04,"April, 2019",15,"Mining, Logging, and Construction",8127900,4/1/19,3.664260388235594
2019-04,"April, 2019",30,Manufacturing,12853600,4/1/19,1.6094861660079052
2019-04,"April, 2019",40,"Trade, Transportation, and Utilities",27508800,4/1/19,0.4176035978156119
2019-04,"April, 2019",50,Information,2879200,4/1/19,1.052927137442089
2019-04,"April, 2019",55,Financial Activities,8607000,4/1/19,1.4210972850678734
2019-04,"April, 2019",60,Professional and Business Services,21312700,4/1/19,1.9219733343535397
2019-04,"April, 2019",65,Education and Health Services,24336800,4/1/19,2.0830362161391265
2019-04,"April, 2019",70,Leisure and Hospitality,16484700,4/1/19,1.8775222639037383
2019-04,"April, 2019",80,Other Services,5835600,4/1/19,1.2527327619113717
2019-04,"April, 2019",90,Government,23467200,4/1/19,0.524313766
2019-05,"May, 2019",15,"Mining, Logging, and Construction",8297200,5/1/19,3.227251237900918
2019-05,"May, 2019",30,Manufacturing,12880300,5/1/19,1.448442078069374
2019-05,"May, 2019",40,"Trade, Transportation, and Utilities",27657800,5/1/19,0.21305119750715606
2019-05,"May, 2019",50,Information,2896500,5/1/19,1.3222793577500263
2019-05,"May, 2019",55,Financial Activities,8642000,5/1/19,1.4188309021135768
2019-05,"May, 2019",60,Professional and Business Services,21369500,5/1/19,1.8317758790761065
2019-05,"May, 2019",65,Education and Health Services,24289100,5/1/19,2.1181149701706516
2019-05,"May, 2019",70,Leisure and Hospitality,16839900,5/1/19,1.6178085663597197
2019-05,"May, 2019",80,Other Services,5876700,5/1/19,1.2194491810055288
2019-05,"May, 2019",90,Government,23471800,5/1/19,0.4317334805249263
2019-06,"June, 2019",15,"Mining, Logging, and Construction",8426100,6/1/19,2.568441041496756
2019-06,"June, 2019",30,Manufacturing,12979300,6/1/19,1.2086429668675873
2019-06,"June, 2019",40,"Trade, Transportation, and Utilities",27773500,6/1/19,0.231329441
2019-06,"June, 2019",50,Information,2925700,6/1/19,1.1512930438390265
2019-06,"June, 2019",55,Financial Activities,8720700,6/1/19,1.3751976192690412
2019-06,"June, 2019",60,Professional and Business Services,21529600,6/1/19,1.6971889864574425
2019-06,"June, 2019",65,Education and Health Services,24010100,6/1/19,2.0013594460257447
2019-06,"June, 2019",70,Leisure and Hospitality,17185200,6/1/19,1.4348870565042113
2019-06,"June, 2019",80,Other Services,5939500,6/1/19,1.0136226806578343
2019-06,"June, 2019",90,Government,22952900,6/1/19,0.3765284167439257
2019-07,"July, 2019",15,"Mining, Logging, and Construction",8475000,7/1/19,2.615328732292045
2019-07,"July, 2019",30,Manufacturing,12969800,7/1/19,0.9597944965554821
2019-07,"July, 2019",40,"Trade, Transportation, and Utilities",27755300,7/1/19,0.30573856100496194
2019-07,"July, 2019",50,Information,2918600,7/1/19,1.3367591403076282
2019-07,"July, 2019",55,Financial Activities,8764300,7/1/19,1.5267883000289604
2019-07,"July, 2019",60,Professional and Business Services,21559500,7/1/19,1.7077485552541576
2019-07,"July, 2019",65,Education and Health Services,23873700,7/1/19,2.1382824432379706
2019-07,"July, 2019",70,Leisure and Hospitality,17225500,7/1/19,1.5355142941349837
2019-07,"July, 2019",80,Other Services,5932300,7/1/19,1.2303334357189175
2019-07,"July, 2019",90,Government,21892800,7/1/19,0.7937238724885362
2019-08,"August, 2019",15,"Mining, Logging, and Construction",8501400,8/1/19,2.4907170757583064
2019-08,"August, 2019",30,Manufacturing,12968200,8/1/19,0.793558266
2019-08,"August, 2019",40,"Trade, Transportation, and Utilities",27774800,8/1/19,0.28741442560443686
2019-08,"August, 2019",50,Information,2938600,8/1/19,1.5656862406248921
2019-08,"August, 2019",55,Financial Activities,8770400,8/1/19,1.6080448584271747
2019-08,"August, 2019",60,Professional and Business Services,21661800,8/1/19,1.6814059595561315
2019-08,"August, 2019",65,Education and Health Services,24029900,8/1/19,2.217921177446456
2019-08,"August, 2019",70,Leisure and Hospitality,17193100,8/1/19,1.2896042228794287
2019-08,"August, 2019",80,Other Services,5910200,8/1/19,1.1691401769972098
2019-08,"August, 2019",90,Government,22246000,8/1/19,0.8994135442699238
2019-09,"September, 2019",15,"Mining, Logging, and Construction",8438300,9/1/19,2.3146688653393794
2019-09,"September, 2019",30,Manufacturing,12898500,9/1/19,0.5534983434028454
2019-09,"September, 2019",40,"Trade, Transportation, and Utilities",27691200,9/1/19,0.2675858972455671
2019-09,"September, 2019",50,Information,2914500,9/1/19,1.5894593746732195
2019-09,"September, 2019",55,Financial Activities,8695800,9/1/19,1.584075138431345
2019-09,"September, 2019",60,Professional and Business Services,21520800,9/1/19,1.492621779544715
2019-09,"September, 2019",65,Education and Health Services,24313600,9/1/19,2.1781612335209055
2019-09,"September, 2019",70,Leisure and Hospitality,16725100,9/1/19,1.4226372760073982
2019-09,"September, 2019",80,Other Services,5847100,9/1/19,1.0682246383074345
2019-09,"September, 2019",90,Government,23183100,9/1/19,0.7093893083345642
2019-10,"October, 2019",15,"Mining, Logging, and Construction",8436600,10/1/19,1.908535259584954
2019-10,"October, 2019",30,Manufacturing,12831200,10/1/19,-0.078652473
2019-10,"October, 2019",40,"Trade, Transportation, and Utilities",27968200,10/1/19,0.5569278007284285
2019-10,"October, 2019",50,Information,2917000,10/1/19,1.217946493632673
2019-10,"October, 2019",55,Financial Activities,8740200,10/1/19,1.6727932622958446
2019-10,"October, 2019",60,Professional and Business Services,21712900,10/1/19,1.3371354963969682
2019-10,"October, 2019",65,Education and Health Services,24613500,10/1/19,2.074373893245636
2019-10,"October, 2019",70,Leisure and Hospitality,16588400,10/1/19,1.4903822622485439
2019-10,"October, 2019",80,Other Services,5875400,10/1/19,0.875626674
2019-10,"October, 2019",90,Government,23562700,10/1/19,0.7551494263686549
2019-11,"November, 2019",15,"Mining, Logging, and Construction",8338500,11/1/19,1.805728518057285
2019-11,"November, 2019",30,Manufacturing,12871500,11/1/19,0.048969312564126476
2019-11,"November, 2019",40,"Trade, Transportation, and Utilities",28672400,11/1/19,0.5710357213008952
2019-11,"November, 2019",50,Information,2961200,11/1/19,2.0681097476906105
2019-11,"November, 2019",55,Financial Activities,8751800,11/1/19,1.6823515742999884
2019-11,"November, 2019",60,Professional and Business Services,21808300,11/1/19,1.3948103755294468
2019-11,"November, 2019",65,Education and Health Services,24737600,11/1/19,2.232893752608762
2019-11,"November, 2019",70,Leisure and Hospitality,16398600,11/1/19,1.6967441860465116
2019-11,"November, 2019",80,Other Services,5875500,11/1/19,1.1412931212559387
2019-11,"November, 2019",90,Government,23698200,11/1/19,0.6699093052399057
2019-12,"December, 2019",15,"Mining, Logging, and Construction",8192700,12/1/19,1.381000111370977
2019-12,"December, 2019",30,Manufacturing,12883800,12/1/19,-0.100800198
2019-12,"December, 2019",40,"Trade, Transportation, and Utilities",28885600,12/1/19,0.7878631393101139
2019-12,"December, 2019",50,Information,2945600,12/1/19,1.719732025692382
2019-12,"December, 2019",55,Financial Activities,8775500,12/1/19,1.8334783870031912
2019-12,"December, 2019",60,Professional and Business Services,21681900,12/1/19,1.4338912956014858
2019-12,"December, 2019",65,Education and Health Services,24689000,12/1/19,2.1067346027229568
2019-12,"December, 2019",70,Leisure and Hospitality,16411900,12/1/19,1.6581806469196367
2019-12,"December, 2019",80,Other Services,5874000,12/1/19,1.3387619902008143
2019-12,"December, 2019",90,Government,23576200,12/1/19,0.647612542
2020-01,"January, 2020",15,"Mining, Logging, and Construction",7932400,1/1/20,1.5932377049180328
2020-01,"January, 2020",30,Manufacturing,12769500,1/1/20,-0.270225943
2020-01,"January, 2020",40,"Trade, Transportation, and Utilities",27892500,1/1/20,0.46138220166832344
2020-01,"January, 2020",50,Information,2929100,1/1/20,2.340938471751511
2020-01,"January, 2020",55,Financial Activities,8697000,1/1/20,1.825291824238096
2020-01,"January, 2020",60,Professional and Business Services,21254200,1/1/20,1.7185847399629577
2020-01,"January, 2020",65,Education and Health Services,24439300,1/1/20,2.2924375094175358
2020-01,"January, 2020",70,Leisure and Hospitality,16025800,1/1/20,1.603383017707587
2020-01,"January, 2020",80,Other Services,5826200,1/1/20,1.5530494500705931
2020-01,"January, 2020",90,Government,23215900,1/1/20,1.2742215514007276
2020-02,"February, 2020",15,"Mining, Logging, and Construction",7962600,2/1/20,1.9186708820254201
2020-02,"February, 2020",30,Manufacturing,12793500,2/1/20,-0.449759946
2020-02,"February, 2020",40,"Trade, Transportation, and Utilities",27624800,2/1/20,0.5851274937099704
2020-02,"February, 2020",50,Information,2955100,2/1/20,1.850830633487282
2020-02,"February, 2020",55,Financial Activities,8722700,2/1/20,1.7829846322594194
2020-02,"February, 2020",60,Professional and Business Services,21377400,2/1/20,1.6369436744940118
2020-02,"February, 2020",65,Education and Health Services,24740800,2/1/20,2.2005031373796373
2020-02,"February, 2020",70,Leisure and Hospitality,16177300,2/1/20,1.6079089019112762
2020-02,"February, 2020",80,Other Services,5860100,2/1/20,1.60378667
2020-02,"February, 2020",90,Government,23566600,2/1/20,1.030167664824683
2020-03,"March, 2020",15,"Mining, Logging, and Construction",8000800,3/1/20,0.8419460549533653
