ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,Owner Occupied,2021,2021,80152161,337611.0,United States,01000US,united-states,0.646331101036592
0,Owner Occupied,2021,2021,1694407,7734.0,Massachusetts,04000US25,massachusetts,0.6242178888672761
0,Owner Occupied,2021,2021,94579,1967.0,"Boston, MA",16000US2507000,boston-ma,0.3477808420665563
0,Owner Occupied,2021,2021,12918,721.0,"Brookline, MA",16000US2509210,brookline-ma,0.4826993498243778
0,Owner Occupied,2021,2021,15958,709.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.334010088536325
0,Owner Occupied,2021,2021,3765,403.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2819591103122894
0,Owner Occupied,2021,2021,6280,519.0,"Everett, MA",16000US2521990,everett-ma,0.3692597165872875
0,Owner Occupied,2021,2021,19519,839.0,"Quincy, MA",16000US2555745,quincy-ma,0.4384814107604178
0,Owner Occupied,2021,2021,10998,658.0,"Revere, MA",16000US2556585,revere-ma,0.5080611632096826
0,Owner Occupied,2021,2021,11695,767.0,"Somerville, MA",16000US2562535,somerville-ma,0.3387596674680648
0,Owner Occupied,2021,2021,7940,509.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.4954139888937418
0,Owner Occupied,2021,2021,1166581,6230.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6155297963801024
0,Owner Occupied,2020,2020,78801376,342600.0,United States,01000US,united-states,0.64404298146842
0,Owner Occupied,2020,2020,1654892,8181.000000000001,Massachusetts,04000US25,massachusetts,0.6252000392900589
0,Owner Occupied,2020,2020,96502,1773.0000000000002,"Boston, MA",16000US2507000,boston-ma,0.3532439199379182
0,Owner Occupied,2020,2020,12112,713.0,"Brookline, MA",16000US2509210,brookline-ma,0.4852564102564102
0,Owner Occupied,2020,2020,16562,629.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.3490484520221711
0,Owner Occupied,2020,2020,3539,377.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2686351905267952
0,Owner Occupied,2020,2020,6346,440.0,"Everett, MA",16000US2521990,everett-ma,0.3939901906003601
0,Owner Occupied,2020,2020,18342,721.0,"Quincy, MA",16000US2555745,quincy-ma,0.4438797734862785
0,Owner Occupied,2020,2020,9194,626.0,"Revere, MA",16000US2556585,revere-ma,0.4954998652654271
0,Owner Occupied,2020,2020,11420,697.0,"Somerville, MA",16000US2562535,somerville-ma,0.3354285378605416
0,Owner Occupied,2020,2020,8256,544.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.5114607855284351
0,Owner Occupied,2020,2020,1143559,6109.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6172208413956514
